,cve,assigner,published,title,description,vendor,product,affected versions,rating
12882,CVE-2025-50106,oracle,2025-07-15T19:27:51.820Z,,"Vulnerability in the Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition product of Oracle Java SE (component: 2D).  Supported versions that are affected are Oracle Java SE: 8u451, 8u451-perf, 11.0.27, 17.0.15, 21.0.7, 24.0.1; Oracle GraalVM for JDK: 17.0.15, 21.0.7 and  24.0.1; Oracle GraalVM Enterprise Edition: 21.3.14. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in takeover of Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition. Note: This vulnerability can be exploited by using APIs in the specified Component, e.g., through a web service which supplies data to the APIs. This vulnerability also applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. CVSS 3.1 Base Score 8.1 (Confidentiality, Integrity and Availability impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H).",ORACLE,Oracle GraalVM Enterprise Edition; Oracle GraalVM for JDK; Oracle Java SE,11.0.27; 17.0.15; 21.0.7; 21.3.14; 24.0.1; 8u451; 8u451-perf,hot
12885,CVE-2025-50109,icscert,2025-07-10T23:39:11.220Z,Emerson ValveLink Products Cleartext Storage of Sensitive Information in Memory,"Emerson ValveLink Products store
sensitive information in cleartext within a resource that might be accessible to another control sphere.",EMERSON,ValveLink DTM; ValveLink PRM; ValveLink SNAP-ON; ValveLink SOLO,0,warm
12886,CVE-2025-50121,schneider,2025-07-11T09:14:55.415Z,,"A CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
vulnerability exists that could cause unauthenticated remote code execution when a malicious folder is created
over the web interface HTTP when enabled. HTTP is disabled by default.",SCHNEIDER ELECTRIC,EcoStruxure™ IT Data Center Expert,8.3,hot
12887,CVE-2025-50122,schneider,2025-07-11T09:17:19.014Z,,"A CWE-331: Insufficient Entropy vulnerability exists that could cause root password discovery when the
password generation algorithm is reverse engineered with access to installation or upgrade artifacts.",SCHNEIDER ELECTRIC,EcoStruxure™ IT Data Center Expert,8.3,hot
12888,CVE-2025-50123,schneider,2025-07-11T10:08:36.560Z,,"A

CWE-94: Improper Control of Generation of Code ('Code Injection') vulnerability exists that could cause remote
command execution by a privileged account when the server is accessed via a console and through
exploitation of the hostname input.",SCHNEIDER ELECTRIC,EcoStruxure™ IT Data Center Expert,8.3,hot
12889,CVE-2025-50124,schneider,2025-07-11T10:49:05.761Z,,"A





CWE-269: Improper Privilege Management vulnerability exists that could cause privilege escalation when the
server is accessed by a privileged account via a console and through exploitation of a setup script.",SCHNEIDER ELECTRIC,EcoStruxure™ IT Data Center Expert,8.3,hot
12890,CVE-2025-50125,schneider,2025-07-11T10:45:49.286Z,,"A



CWE-918: Server-Side Request Forgery (SSRF) vulnerability exists that could cause unauthenticated remote
code execution when the server is accessed via the network with knowledge of hidden URLs and manipulation
of host request header.",SCHNEIDER ELECTRIC,EcoStruxure™ IT Data Center Expert,8.3,hot
12892,CVE-2025-50127,Joomla,2025-07-23T11:14:17.617Z,Extension - dj-extensions.com - SQLi vulnerability in DJ-Flyer component 1.0-3.2 for Joomla,A SQLi vulnerability in DJ-Flyer component 1.0-3.2 for Joomla was discovered. The issue allows privileged users to execute arbitrary SQL commands.,DJ-EXTENSIONS.COM,DJ-Flyer component for Joomla,1.0-3.2,warm
12893,CVE-2025-50128,talos,2025-07-24T15:11:03.304Z,,A cross-site scripting (xss) vulnerability exists in the videoNotFound 404ErrorMsg parameter functionality of WWBN AVideo 14.4 and dev master commit 8a8954ff. A specially crafted HTTP request can lead to arbitrary Javascript execution. An attacker can get a user to visit a webpage to trigger this vulnerability.,WWBN,AVideo,14.4; dev master commit 8a8954ff,hot
12894,CVE-2025-50129,talos,2025-08-25T14:17:38.509Z,,"A memory corruption vulnerability exists in the PCX Image Decoding functionality of the SAIL Image Decoding Library v0.9.8. When decoding the image data from a specially crafted .tga file, a heap-based buffer overflow can occur which allows for remote code execution. An attacker will need to convince the library to read a file to trigger this vulnerability.",SAIL IMAGE DECODING LIBRARY,SAIL Image Decoding Library,v0.9.8,warm
12895,CVE-2025-50130,jpcert,2025-07-08T12:59:44.115Z,,"A heap-based buffer overflow vulnerability exists in VS6Sim.exe contained in V-SFT and TELLUS provided by FUJI ELECTRIC CO., LTD.
Opening V9 files or X1 files specially crafted by an attacker on the affected product may lead to arbitrary code execution.","FUJI ELECTRIC CO., LTD. / HAKKO ELECTRONICS CO.",TELLUS; V-SFT-6,v4.0.20.0 and earlier; v6.2.5.0 and earlier,warm
12897,CVE-2025-50153,microsoft,2025-08-12T17:09:57.597Z,Desktop Windows Manager Elevation of Privilege Vulnerability,Use after free in Desktop Windows Manager allows an authorized attacker to elevate privileges locally.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12898,CVE-2025-50154,microsoft,2025-08-12T17:09:58.294Z,Microsoft Windows File Explorer Spoofing Vulnerability,Exposure of sensitive information to an unauthorized actor in Windows File Explorer allows an unauthorized attacker to perform spoofing over a network.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12899,CVE-2025-50155,microsoft,2025-08-12T17:10:39.411Z,Windows Push Notifications Apps Elevation of Privilege Vulnerability,Access of resource using incompatible type ('type confusion') in Windows Push Notifications allows an authorized attacker to elevate privileges locally.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0; 6.2.9200.0; 6.3.9600.0,hot
12900,CVE-2025-50156,microsoft,2025-08-12T17:09:58.862Z,Windows Routing and Remote Access Service (RRAS) Information Disclosure Vulnerability,Use of uninitialized resource in Windows Routing and Remote Access Service (RRAS) allows an authorized attacker to disclose information over a network.,MICROSOFT,windows,10.0.14393.0; 10.0.17763.0; 10.0.20348.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,warm
12901,CVE-2025-50157,microsoft,2025-08-12T17:10:38.778Z,Windows Routing and Remote Access Service (RRAS) Information Disclosure Vulnerability,Use of uninitialized resource in Windows Routing and Remote Access Service (RRAS) allows an authorized attacker to disclose information over a network.,MICROSOFT,windows,10.0.14393.0; 10.0.17763.0; 10.0.20348.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,warm
12902,CVE-2025-50158,microsoft,2025-08-12T17:09:59.537Z,Windows NTFS Information Disclosure Vulnerability,Time-of-check time-of-use (toctou) race condition in Windows NTFS allows an unauthorized attacker to disclose information locally.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12903,CVE-2025-50159,microsoft,2025-08-12T17:10:00.167Z,Remote Access Point-to-Point Protocol (PPP) EAP-TLS Elevation of Privilege Vulnerability,Use after free in Remote Access Point-to-Point Protocol (PPP) EAP-TLS allows an authorized attacker to elevate privileges locally.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0; 6.2.9200.0; 6.3.9600.0,hot
12904,CVE-2025-50160,microsoft,2025-08-12T17:10:00.813Z,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Heap-based buffer overflow in Windows Routing and Remote Access Service (RRAS) allows an authorized attacker to execute code over a network.,MICROSOFT,windows,10.0.14393.0; 10.0.17763.0; 10.0.20348.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12905,CVE-2025-50161,microsoft,2025-08-12T17:10:01.342Z,Win32k Elevation of Privilege Vulnerability,Heap-based buffer overflow in Windows Win32K - GRFX allows an authorized attacker to elevate privileges locally.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12906,CVE-2025-50162,microsoft,2025-08-12T17:10:02.004Z,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Heap-based buffer overflow in Windows Routing and Remote Access Service (RRAS) allows an authorized attacker to execute code over a network.,MICROSOFT,windows,10.0.14393.0; 10.0.17763.0; 10.0.20348.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12907,CVE-2025-50163,microsoft,2025-08-12T17:10:02.713Z,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Heap-based buffer overflow in Windows Routing and Remote Access Service (RRAS) allows an unauthorized attacker to execute code over a network.,MICROSOFT,windows,10.0.14393.0; 10.0.17763.0; 10.0.20348.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12908,CVE-2025-50164,microsoft,2025-08-12T17:10:03.362Z,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Heap-based buffer overflow in Windows Routing and Remote Access Service (RRAS) allows an authorized attacker to execute code over a network.,MICROSOFT,windows,10.0.14393.0; 10.0.17763.0; 10.0.20348.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12909,CVE-2025-50165,microsoft,2025-08-12T17:10:03.929Z,Windows Graphics Component Remote Code Execution Vulnerability,Untrusted pointer dereference in Microsoft Graphics Component allows an unauthorized attacker to execute code over a network.,MICROSOFT,windows,10.0.26100.0,hot
12910,CVE-2025-50166,microsoft,2025-08-12T17:10:04.587Z,Windows Distributed Transaction Coordinator (MSDTC) Information Disclosure Vulnerability,Integer overflow or wraparound in Windows Distributed Transaction Coordinator allows an authorized attacker to disclose information over a network.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,warm
12911,CVE-2025-50167,microsoft,2025-08-12T17:10:05.199Z,Windows Hyper-V Elevation of Privilege Vulnerability,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows Hyper-V allows an authorized attacker to elevate privileges locally.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0; 6.2.9200.0; 6.3.9600.0,hot
12912,CVE-2025-50168,microsoft,2025-08-12T17:10:05.803Z,Win32k Elevation of Privilege Vulnerability,Access of resource using incompatible type ('type confusion') in Windows Win32K - ICOMP allows an authorized attacker to elevate privileges locally.,MICROSOFT,windows,10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0,hot
12913,CVE-2025-50169,microsoft,2025-08-12T17:10:06.492Z,Windows SMB Remote Code Execution Vulnerability,Concurrent execution using shared resource with improper synchronization ('race condition') in Windows SMB allows an unauthorized attacker to execute code over a network.,MICROSOFT,windows,10.0.26100.0,hot
12914,CVE-2025-50170,microsoft,2025-08-12T17:10:07.070Z,Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability,Improper handling of insufficient permissions or privileges in Windows Cloud Files Mini Filter Driver allows an authorized attacker to elevate privileges locally.,MICROSOFT,windows,10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0,hot
12915,CVE-2025-50171,microsoft,2025-08-12T17:10:07.727Z,Remote Desktop Spoofing Vulnerability,Missing authorization in Remote Desktop Server allows an unauthorized attacker to perform spoofing over a network.,MICROSOFT,windows,10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0,hot
12916,CVE-2025-50172,microsoft,2025-08-12T17:10:08.401Z,DirectX Graphics Kernel Denial of Service Vulnerability,Allocation of resources without limits or throttling in Windows DirectX allows an authorized attacker to deny service over a network.,MICROSOFT,windows,10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0,warm
12917,CVE-2025-50173,microsoft,2025-08-12T17:10:08.976Z,Windows Installer Elevation of Privilege Vulnerability,Weak authentication in Windows Installer allows an authorized attacker to elevate privileges locally.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12918,CVE-2025-50176,microsoft,2025-08-12T17:10:09.560Z,DirectX Graphics Kernel Remote Code Execution Vulnerability,Access of resource using incompatible type ('type confusion') in Graphics Kernel allows an authorized attacker to execute code locally.,MICROSOFT,windows,10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0,hot
12919,CVE-2025-50177,microsoft,2025-08-12T17:10:10.219Z,Microsoft Message Queuing (MSMQ) Remote Code Execution Vulnerability,Use after free in Windows Message Queuing allows an unauthorized attacker to execute code over a network.,MICROSOFT,windows,10.0.10240.0; 10.0.14393.0; 10.0.17763.0; 10.0.19044.0; 10.0.19045.0; 10.0.20348.0; 10.0.22621.0; 10.0.22631.0; 10.0.25398.0; 10.0.26100.0; 6.0.6003.0; 6.1.7601.0; 6.2.9200.0; 6.3.9600.0,hot
12928,CVE-2025-50201,GitHub_M,2025-06-19T03:34:29.859Z,WeGIA OS Command Injection in debug_info.php parameter 'branch',"WeGIA is a web manager for charitable institutions. Prior to version 3.4.2, an OS Command Injection vulnerability was identified in the /html/configuracao/debug_info.php endpoint. The branch parameter is not properly sanitized before being concatenated and executed in a shell command on the server's operating system. This flaw allows an unauthenticated attacker to execute arbitrary commands on the server with the privileges of the web server user (www-data). This issue has been patched in version 3.4.2.",LABREDESCEFETRJ,WeGIA,< 3.4.2,hot
13089,CVE-2025-51381,jpcert,2025-06-18T04:27:50.253Z,,"An authentication bypass vulnerability exists in KCM3100 Ver1.4.2 and earlier. If this vulnerability is exploited, an attacker may bypass the authentication of the product from within the LAN to which the product is connected.",KAON,KCM3100,Ver1.4.2 and earlier,warm
13207,CVE-2025-52131,mitre,2025-08-03T00:00:00.000Z,,The Mocca Calendar application before 2.15 for XWiki allows XSS via the background or text color field.,XWIKI-CONTRIB,Mocca Calendar,0,warm
13208,CVE-2025-52132,mitre,2025-08-03T00:00:00.000Z,,The Mocca Calendar application before 2.15 for XWiki allows XSS via a title to the view event page.,XWIKI-CONTRIB,Mocca Calendar,0,warm
13209,CVE-2025-52133,mitre,2025-08-03T00:00:00.000Z,,The Mocca Calendar application before 2.15 for XWiki allows XSS via a title upon calendar import.,XWIKI-CONTRIB,Mocca Calendar,0,warm
13210,CVE-2025-52136,mitre,2025-08-10T00:00:00.000Z,,"In EMQX before 5.8.6, administrators can install arbitrary novel plugins via the Dashboard web interface. NOTE: the Supplier's position is that this is the intended behavior; however, 5.8.6 adds a defense-in-depth feature in which a plugin's acceptability (for later Dashboard installation) is set by the ""emqx ctl plugins allow"" CLI command.",EMQX,EMQX,0,warm
13221,CVE-2025-52207,mitre,2025-06-27T00:00:00.000Z,,PBXCoreREST/Controllers/Files/PostController.php in MikoPBX through 2024.1.114 allows uploading a PHP script to an arbitrary directory.,MIKO,MikoPBX,0,hot
13261,CVE-2025-52449,Salesforce,2025-07-25T18:56:25.554Z,,"Unrestricted Upload of File with Dangerous Type vulnerability in Salesforce Tableau Server on Windows, Linux (Extensible Protocol Service modules) allows Alternative Execution Due to Deceptive Filenames (RCE). This issue affects Tableau Server: before 2025.1.3, before 2024.2.12, before 2023.3.19.",SALESFORCE,Tableau Server,0,hot
13268,CVE-2025-52456,talos,2025-08-25T14:17:35.230Z,,"A memory corruption vulnerability exists in the WebP Image Decoding functionality of the SAIL Image Decoding Library v0.9.8. When loading a specially crafted .webp animation an integer overflow can be made to occur when calculating the stride for decoding. Afterwards, this will cause a heap-based buffer to overflow when decoding the image which can lead to remote code execution. An attacker will need to convince the library to read a file to trigger this vulnerability.",SAIL IMAGE DECODING LIBRARY,SAIL Image Decoding Library,v0.9.8,warm
13269,CVE-2025-52459,icscert,2025-07-10T23:28:08.679Z,Advantech iView Argument Injection,"A vulnerability exists in Advantech iView that allows for argument 
injection in NetworkServlet.backupDatabase(). This issue requires an 
authenticated attacker with at least user-level privileges. Certain 
parameters can be used directly in a command without proper 
sanitization, allowing arbitrary arguments to be injected. This can 
result in information disclosure, including sensitive database 
credentials.",ADVANTECH,iView,0,warm
13270,CVE-2025-52460,jpcert,2025-08-28T08:27:52.965Z,,"Files or directories accessible to external parties issue exists in SS1 Ver.16.0.0.10 and earlier (Media version:16.0.0a and earlier). If exploited, uploaded files and SS1 configuration files may be accessed by a remote unauthenticated attacker.",DOS CO.,SS1; SS1 Cloud,Ver.16.0.0.10 and earlier (Media version:16.0.0a and earlier) (Affected under Windows environment only); Ver.2.1.3 and earlier (Affected under Windows environment only),warm
13271,CVE-2025-52461,talos,2025-08-25T13:53:37.361Z,,An out-of-bounds read vulnerability exists in the Nex parsing functionality of The Biosig Project libbiosig 3.9.0 and Master Branch (35a819fa). A specially crafted .nex file can lead to an information leak. An attacker can provide a malicious file to trigger this vulnerability.,THE BIOSIG PROJECT,libbiosig,3.9.0; Master Branch (35a819fa),warm
13272,CVE-2025-52462,jpcert,2025-07-02T05:02:42.488Z,,"Cross-site scripting vulnerability exists in Active! mail 6 BuildInfo: 6.30.01004145 to 6.60.06008562. If this vulnerability is exploited, an arbitrary script may be executed on the logged-in user's web browser when the user is accessing a specially crafted URL.",QUALITIA CO.,Active! mail 6,BuildInfo: 6.30.01004145 to 6.60.06008562,warm
13290,CVE-2025-52491,mitre,2025-06-30T00:00:00.000Z,,Akamai CloudTest before 60 2025.06.09 (12989) allows SSRF.,AKAMAI,CloudTest,0,warm
13295,CVE-2025-52521,trendmicro,2025-07-10T18:57:25.462Z,,Trend Micro Security 17.8 (Consumer) is vulnerable to a link following local privilege escalation vulnerability that could allow a local attacker to unintentionally delete privileged Trend Micro files including its own.,TREND MICRO,Trend Micro Security (Consumer),17.8,hot
13306,CVE-2025-52562,GitHub_M,2025-06-23T20:48:17.456Z,Convey Panel Directory Traversal in LocaleController leading to Remote Code Execution,"Convoy is a KVM server management panel for hosting businesses. In versions 3.9.0-rc3 to before 4.4.1, there is a directory traversal vulnerability in the LocaleController component of Performave Convoy. An unauthenticated remote attacker can exploit this vulnerability by sending a specially crafted HTTP request with malicious locale and namespace parameters. This allows the attacker to include and execute arbitrary PHP files on the server. This issue has been patched in version 4.4.1. A temporary workaround involves implementing strict Web Application Firewall (WAF) rules to incoming requests targeting the vulnerable endpoints.",CONVOYPANEL,panel,">= 3.9.0-rc.3, < 4.4.1",hot
13314,CVE-2025-52573,GitHub_M,2025-06-26T14:08:56.100Z,Command Injection in MCP Server ios-simulator-mcp,"iOS Simulator MCP Server (ios-simulator-mcp) is a Model Context Protocol (MCP) server for interacting with iOS simulators. Versions prior to 1.3.3 are written in a way that is vulnerable to command injection vulnerability attacks as part of some of its MCP Server tool definition and implementation. The MCP Server exposes the tool `ui_tap` which relies on Node.js child process API `exec` which is an unsafe and vulnerable API if concatenated with untrusted user input. LLM exposed user input for `duration`, `udid`, and `x` and `y` args can be replaced with shell meta-characters like `;` or `&&` or others to change the behavior from running the expected command `idb` to another command. When LLMs are tricked through prompt injection (and other techniques and attack vectors) to call the tool with input that uses special shell characters such as `; rm -rf /tmp;#` and other payload variations, the full command-line text will be interepted by the shell and result in other commands except of `ps` executing on the host running the MCP Server. Version 1.3.3 contains a patch for the issue.",JOSHUAYOES,ios-simulator-mcp,< 1.3.3,warm
13316,CVE-2025-52575,GitHub_M,2025-07-21T17:48:11.466Z,EspoCRM vulnerable to LDAP Injection through Improper Neutralization of Special Elements,"EspoCRM is an Open Source CRM (Customer Relationship Management) software. EspoCRM versions 9.1.6 and earlier are vulnerable to blind LDAP Injection when LDAP authentication is enabled. A remote, unauthenticated attacker can manipulate LDAP queries by injecting crafted input containing wildcard characters (e.g., *). This may allow the attacker to bypass authentication controls, enumerate valid usernames, or retrieve sensitive directory information depending on the LDAP server configuration. This was fixed in version 9.1.7.",ESPOCRM,espocrm,< 9.1.7,warm
13318,CVE-2025-52577,icscert,2025-07-10T23:24:42.965Z,Advantech iView SQL Injection,"A vulnerability exists in Advantech iView that could allow SQL injection
 and remote code execution through NetworkServlet.archiveTrapRange(). 
This issue requires an authenticated attacker with at least user-level 
privileges. Certain input parameters are not properly sanitized, 
allowing an attacker to perform SQL injection and potentially execute 
code in the context of the 'nt authority\local service' account.",ADVANTECH,iView,0,warm
13319,CVE-2025-52579,icscert,2025-07-10T23:37:21.515Z,Emerson ValveLink Products Cleartext Storage of Sensitive Information in Memory,"Emerson ValveLink Products store sensitive information in cleartext in memory. The 
sensitive memory might be saved to disk, stored in a core dump, or 
remain uncleared if the product crashes, or if the programmer does not 
properly clear the memory before freeing it.",EMERSON,ValveLink DTM; ValveLink PRM; ValveLink SNAP-ON; ValveLink SOLO,0,hot
13321,CVE-2025-52581,talos,2025-08-25T13:53:48.423Z,,An integer overflow vulnerability exists in the GDF parsing functionality of The Biosig Project libbiosig 3.9.0 and Master Branch (35a819fa). A specially crafted GDF file can lead to arbitrary code execution. An attacker can provide a malicious file to trigger this vulnerability.,THE BIOSIG PROJECT,libbiosig,3.9.0; Master Branch (35a819fa),hot
13322,CVE-2025-52584,icscert,2025-08-18T21:09:30.297Z,"Ashlar-Vellum Cobalt, Xenon, Argon, Lithium, Cobalt Share Heap-based Buffer Overflow","In Ashlar-Vellum Cobalt, Xenon, Argon, Lithium, and Cobalt Share versions prior to 12.6.1204.204, the affected applications lack proper validation of user-supplied data when parsing XE files. This could lead to a heap-based buffer overflow. An attacker could leverage this vulnerability to execute arbitrary code in the context of the current process.",ASHLAR-VELLUM,Argon; Cobalt; Cobalt Share; Lithium; Xenon,0,warm
13323,CVE-2025-52585,f5,2025-08-13T14:46:53.883Z,BIG-IP Client SSL profile vulnerability,"When a BIG-IP LTM Client SSL profile is configured on a virtual server with SSL Forward Proxy enabled and Anonymous Diffie-Hellman (ADH) ciphers enabled, undisclosed requests can cause the Traffic Management Microkernel (TMM) to terminate.

 


Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated.",F5,BIG-IP,15.1.0; 16.1.0; 17.1.0; 17.5.0,hot
13324,CVE-2025-52586,icscert,2025-08-08T16:00:43.694Z,EG4 Electronics EG4 Inverters Cleartext Transmission of Sensitive Information,"The MOD3 command traffic between the monitoring application and the 
inverter is transmitted in plaintext without encryption or obfuscation. 
This vulnerability may allow an attacker with access to a local network 
to intercept, manipulate, replay, or forge critical data, including 
read/write operations for voltage, current, and power configuration, 
operational status, alarms, telemetry, system reset, or inverter control
 commands, potentially disrupting power generation or reconfiguring 
inverter settings.",EG4 ELECTRONICS,EG4 12000XP; EG4 12kPV; EG4 18kPV; EG4 6000XP; EG4 Flex 18; EG4 Flex 21; EG4 GridBoss,all versions,warm
13325,CVE-2025-52618,HCL,2025-08-15T22:49:23.810Z,HCL BigFix SaaS Authentication Service is affected by a SQL injection vulnerability,HCL BigFix SaaS Authentication Service is affected by a SQL injection vulnerability.  The vulnerability allows potential attackers to manipulate SQL queries.,HCL SOFTWARE,BigFix SaaS Remediate,< 8.1.14,warm
13328,CVE-2025-52621,HCL,2025-08-15T22:45:55.628Z,HCL BigFix SaaS Authentication Service is vulnerable to cache poisoning,HCL BigFix SaaS Authentication Service is vulnerable to cache poisoning.   The BigFix SaaS's HTTP responses were observed to include the Origin header. Its presence alongside an unvalidated reflection of the Origin header value introduces a potential for cache poisoning.,HCL SOFTWARE,BigFix SaaS Remediate,< 8.1.14,warm
13329,CVE-2025-52687,CSA,2025-07-16T06:15:05.328Z,JavaScript Injection Vulnerability in the OmniAccess Stellar Web Management Interface,"Successful exploitation of the vulnerability could allow an attacker with administrator credentials for the access point to inject malicious JavaScript into the payload of web traffics, potentially leading to session hijacking and denial-of-service (DoS).",ALCATEL,OmniAccess Stellar,AP1100 AWOS versions 5.0.2 GA and earlier; AP1200 AWOS versions 5.0.2 GA and earlier; AP1300 AWOS versions 5.0.2 GA and earlier; AP1400 AWOS versions 5.0.2 GA and earlier; AP1500 AWOS versions 5.0.2 GA and earlier,warm
13330,CVE-2025-52688,CSA,2025-07-16T06:23:53.933Z,Command Injection Vulnerability in the OmniAccess Stellar Web Management Interface,"Successful exploitation of the vulnerability could allow an attacker to inject commands with root privileges on the access point, potentially leading to the loss of confidentiality, integrity, availability, and full control of the access point.",ALCATEL,OmniAccess Stellar Products,AP1100 AWOS versions 5.0.2 GA and earlier; AP1200 AWOS versions 5.0.2 GA and earlier; AP1300 AWOS versions 5.0.2 GA and earlier; AP1400 AWOS versions 5.0.2 GA and earlier; AP1500 AWOS versions 5.0.2 GA and earlier,hot
13331,CVE-2025-52689,CSA,2025-07-16T06:30:11.161Z,Weak Session ID Check in the OmniAccess Stellar Web Management Interface,"Successful exploitation of the vulnerability could allow an unauthenticated attacker to obtain a valid session ID with administrator privileges by spoofing the login request, potentially allowing the attacker to modify the behaviour of the access point.",ALCATEL,OmniAccess Stellar Products,AP1100 AWOS versions 5.0.2 GA and earlier; AP1200 AWOS versions 5.0.2 GA and earlier; AP1300 AWOS versions 5.0.2 GA and earlier; AP1400 AWOS versions 5.0.2 GA and earlier; AP1500 AWOS versions 5.0.2 GA and earlier,hot
13332,CVE-2025-52690,CSA,2025-07-16T06:34:02.704Z,Command Injection Vulnerability in the OmniAccess Stellar over UDP Service,"Successful exploitation of the vulnerability could allow an attacker to execute arbitrary commands as root, potentially leading to the loss of confidentiality, integrity, availability, and full control of the access point.",ALCATEL,OmniAccess Stellar Products,AP1100 AWOS versions 5.0.2 GA and earlier; AP1200 AWOS versions 5.0.2 GA and earlier; AP1300 AWOS versions 5.0.2 GA and earlier; AP1400 AWOS versions 5.0.2 GA and earlier; AP1500 AWOS versions 5.0.2 GA and earlier,hot
